"state","S1","S2","S3","executionTime"
2,0,1,0,114.291938244503
2,3.11245927244371e-24,0.999999985018747,1.49812525756776e-08,104.127102670087
3,8.57108263555009e-07,8.5031850607622e-12,0.999999142883233,70.4390157996766
2,4.12917714578968e-25,0.999999998903556,1.09644403766847e-09,106.277990839282
3,4.38966148474908e-07,2.74416595313952e-11,0.99999956100641,71.3136271510589
1,0.999999999994775,9.0967557386627e-49,5.22459475238304e-12,28.3046270281648
1,0.999998410040702,4.94689735300246e-36,1.58995929783318e-06,39.5269845477249
3,2.31300364790561e-06,4.85164077175982e-12,0.9999976869915,69.7238369352381
1,0.999999999390924,8.93244508242517e-44,6.09076206208929e-10,32.9257490985899
3,9.77116552653052e-07,2.18106475614445e-11,0.999999022861637,70.8444282892668
2,2.64085963106777e-29,0.999999999998787,1.21305842244574e-12,111.822608529749
1,0.999999730158389,2.18868116703964e-38,2.69841610627377e-07,37.2630681140285
2,8.08398239072678e-28,0.99999999996967,3.03298459043153e-11,108.825916991202
3,3.88115485810266e-06,6.18530970027378e-13,0.999996118844523,68.4885951840436
1,0.999999999892506,1.33189313438111e-45,1.07493725206308e-10,31.2254849208811
2,8.7940589883931e-27,0.999999999837654,1.62345783357271e-10,107.462325569814
1,0.999999989635248,7.50658194875125e-42,1.036475227382e-08,33.9931427097994
1,0.999999999541157,1.08321885327725e-44,4.58842413846259e-10,31.3601516394917
2,5.57048518329662e-29,0.999999999995411,4.58860380469162e-12,110.366314513046
1,0.999999998368467,8.38245442375492e-44,1.63153259689679e-09,32.1689378342743
2,1.44329429502404e-26,0.999999999770228,2.29772035129452e-10,107.180536244371
2,1.26816708335901e-30,0.999999999999519,4.80448211147873e-13,112.54169558358
2,1.99436827562957e-28,0.999999999982638,1.73619508817726e-11,109.605328472843
2,3.37981863715351e-23,0.999999921756819,7.82431809467276e-08,102.798316536921
2,5.80118133361777e-29,0.999999999992747,7.25350878241935e-12,110.317845696858
2,2.50355854540328e-23,0.999999936428041,6.35719586506353e-08,102.965007534107
1,0.9999999978926,1.55967285687169e-43,2.10739989002418e-09,32.4201741167074
2,9.38067124387507e-29,0.999999999993366,6.63414167456149e-12,110.065176563506
1,0.999999974134616,6.98990967155612e-41,2.58653841214594e-08,34.9035004715991
3,3.16495330524778e-06,2.81495808279337e-12,0.99999683504388,69.318669583949
1,0.999999999877364,1.83217002502583e-45,1.2263612053474e-10,31.354021038296
3,6.42948480391499e-05,1.61772298026722e-14,0.999935705151945,65.4964951602909
1,0.999999999787751,6.91695108513673e-45,2.12248570729073e-10,31.8901601673107
1,0.999999999964599,2.2409306953891e-47,3.5401146359847e-11,28.8800263570573
1,0.999999711881813,7.30337702548062e-38,2.88118187222502e-07,37.7785097724051
2,6.62911110500915e-26,0.999999999332112,6.67888306249526e-10,106.316102072813
1,0.999999999986018,8.70513917333058e-49,1.39816125959165e-11,27.5687950072182
3,0.000377963253173677,8.21308216685051e-16,0.999622036746825,63.3029317428605
1,0.999999987150596,1.52007962308693e-40,1.28494043394033e-08,35.9609663910075
1,0.999999999820223,1.12464938950029e-45,1.79777189652146e-10,30.4485437757736
3,3.68399977330147e-06,2.16371667002721e-12,0.999996315998063,69.1229611990681
1,0.999999999985983,9.75891369344901e-48,1.40170958852253e-11,29.2519137725951
1,0.999999962233001,4.97733465047121e-40,3.7766999099595e-08,35.7248106448199
3,2.413902526925e-05,8.55190417521926e-14,0.999975860974645,66.7266485815585
3,0.000313203542467344,6.5359084062455e-15,0.999686796457526,65.1591226176048
1,0.999999994484337,1.91915203027309e-41,5.51566296714194e-09,35.113045620265
2,1.46974411564053e-26,0.999999999767285,2.32714969280282e-10,107.170215482251
3,1.03339819839567e-05,1.1499234389484e-13,0.999989666017901,67.240860603111
3,0.000347448456308909,5.48460415772203e-15,0.999652551543686,65.0298739922139
1,0.99999999509118,1.44344385152874e-41,4.90882004905626e-09,34.9965523005994
3,0.000171572922018291,3.08766182323177e-15,0.999828427077979,64.2762387119593
1,0.999999999781888,7.38922886658678e-45,2.18112290634189e-10,31.916844434219
2,1.21266506963162e-27,0.999999999959648,4.03525236234736e-11,108.593524576826
1,0.999999979957943,3.74930931306756e-41,2.00420569945106e-08,34.6490356089954
1,0.999999999876206,4.57040161308811e-46,1.23793778312175e-10,30.0870208900319
1,0.999998903321294,1.97453486380419e-36,1.09667870642017e-06,39.1450250326838
2,9.67578257980593e-25,0.999999995668328,4.33167238245492e-09,104.80575684008
3,0.000105146073382944,2.24655064271357e-15,0.999894853926615,64.3354848256033
3,1.02385619173907e-05,2.28815712174763e-12,0.999989761435794,69.4983108347543
1,0.999999999860882,2.48614907351877e-45,1.39117958268461e-10,31.4771083234816
1,0.999999999288532,3.13329790706857e-44,7.11467623215826e-10,31.7887302807698
3,9.18547049845473e-06,4.47357813799645e-13,0.999990814529054,67.9523138236762
1,0.999999999349643,1.04757638454167e-43,6.50356982985354e-10,32.9903999696621
2,2.728490253128e-28,0.999999999985897,1.41030948999972e-11,109.449805735329
3,3.92519787555477e-07,3.3398846149927e-11,0.999999607446814,71.4604473667785
1,0.999999982625587,3.1841450154915e-40,1.73744128165303e-08,36.2646101104994
1,0.999999986800393,3.80906860796013e-41,1.31996066260297e-08,34.673151442404
1,0.999999993426773,6.95506143814548e-42,6.57322680077073e-09,33.9796763868102
3,8.91808277490256e-06,4.70665019161469e-13,0.999991081916754,67.9899869655374
1,0.999999999713138,1.43583062053688e-44,2.8686201841772e-10,32.1853835636465
1,0.999999997490412,6.67648847468465e-43,2.50958770429891e-09,33.0270369184145
2,2.39039363433082e-25,0.999999998364574,1.63542557445762e-09,105.59196837123
1,0.999999998268179,9.68742499898754e-44,1.73182055948378e-09,32.2274596313037
2,1.4602748226479e-26,0.999999999768337,2.31663216281722e-10,107.173888847839
3,0.000306073819739533,3.75025158331765e-16,0.99969392618026,63.0200218415371
1,0.999999999947682,2.33631483036186e-46,5.23177654674759e-11,30.5250244188258
2,2.15042589798008e-25,0.999999998480914,1.51908570919832e-09,105.65159172815
1,0.999999909638935,1.4921973340853e-39,9.03610647494699e-08,36.1576317402693
1,0.999999995392511,2.92707836197702e-42,4.6074891852206e-09,33.6274481605127
2,7.61058122775036e-28,0.999999999970932,2.9067675035902e-11,108.860524192669
1,0.999999961234651,1.87921442733529e-40,3.8765348996767e-08,35.3080317357606
1,0.999999897717374,5.72501438418225e-39,1.02282626247559e-07,36.7282850580921
1,0.999999998442708,2.09474386174583e-43,1.55729233251945e-09,32.5571189088416
1,0.999999999555523,1.00296090966002e-44,4.44476960870437e-10,31.3291172607032
1,0.999999994518694,4.4677820272836e-42,5.48130591594704e-09,33.7994955184389
1,0.999999880242931,8.43286928708334e-39,1.19757069478652e-07,36.8877596151637
2,2.33868603984827e-28,0.999999999987351,1.2649164776262e-11,109.538529125318
1,0.999999997160764,3.21606265018373e-43,2.83923601215346e-09,32.7132964909415
2,2.92472595647811e-27,0.99999999992505,7.49499710684716e-11,108.090013261329
3,0.000977532017306986,5.43724505893006e-17,0.999022467982693,61.6054611159297
1,0.999999986709981,1.65097280551818e-40,1.32900192303222e-08,35.9948690912907
2,1.65806405681902e-25,0.999999998732963,1.26703724953511e-09,105.7982146382
2,1.19818010968226e-27,0.99999999993855,6.14500933616618e-11,108.575640298529
3,1.16637293909979e-05,9.34849235909332e-14,0.999988336270516,67.0875342074041
1,0.999999999999445,4.23117218682256e-51,5.54920775205832e-13,26.1730308970924
1,0.999999971372007,2.52654998798007e-40,2.86279928836622e-08,35.4469447791698
1,0.999999999395366,2.11265937712274e-44,6.04634383363733e-10,31.6296125750926
1,0.999999995754945,2.39783041541139e-42,4.24505453441376e-09,33.5463475694038
2,3.54974037509332e-31,0.999999999999874,1.26081515793966e-13,113.313906566803
1,0.999999997822611,1.68838000831148e-43,2.17738913077394e-09,32.4522752379655
1,0.999999999599418,7.79855946945427e-45,4.00581564033381e-10,31.2277104159118
3,2.05578624686343e-05,1.12491883058491e-13,0.999979442137419,66.929494003596
1,0.999999999732765,1.20908400462583e-44,2.67234871433123e-10,32.1158759237009
3,1.0858648697461e-05,3.35592173174414e-13,0.999989141350967,67.739140114593
1,0.999999982480708,3.24964059948005e-40,1.75192920833551e-08,36.2729762959324
2,1.59446680273288e-25,0.999999998767081,1.23291864762327e-09,105.820279528244
3,9.79487716138074e-05,2.53115363162028e-15,0.999902051228384,64.4232721458895
1,0.999999999252175,1.47101706853924e-43,7.4782473971925e-10,33.1281632038571
2,5.04190811095611e-26,0.999999999448429,5.51571469837523e-10,106.47098922446
1,0.999999996748749,4.46970102963769e-43,3.25125112030665e-09,32.8467315960771
1,0.999999998145326,3.20207825376596e-43,1.854673454824e-09,32.7290571490945
3,1.51772019177095e-07,5.83062224988266e-10,0.999999847644919,73.3037883062733
2,1.61708379210829e-31,0.999999999999968,3.18547795123818e-14,114.818022133575
