"executionTime","index","states"
114.291938244503,1,3
104.127102670087,2,3
70.4390157996766,3,2
106.277990839282,4,3
71.3136271510589,5,2
28.3046270281648,6,1
39.5269845477249,7,1
69.7238369352381,8,2
32.9257490985899,9,1
70.8444282892668,10,2
111.822608529749,11,3
37.2630681140285,12,1
108.825916991202,13,3
68.4885951840436,14,2
31.2254849208811,15,1
107.462325569814,16,3
33.9931427097994,17,1
31.3601516394917,18,1
110.366314513046,19,3
32.1689378342743,20,1
107.180536244371,21,3
112.54169558358,22,3
109.605328472843,23,3
102.798316536921,24,3
110.317845696858,25,3
102.965007534107,26,3
32.4201741167074,27,1
110.065176563506,28,3
34.9035004715991,29,1
69.318669583949,30,2
31.354021038296,31,1
65.4964951602909,32,2
31.8901601673107,33,1
28.8800263570573,34,1
37.7785097724051,35,1
106.316102072813,36,3
27.5687950072182,37,1
63.3029317428605,38,2
35.9609663910075,39,1
30.4485437757736,40,1
69.1229611990681,41,2
29.2519137725951,42,1
35.7248106448199,43,1
66.7266485815585,44,2
65.1591226176048,45,2
35.113045620265,46,1
107.170215482251,47,3
67.240860603111,48,2
65.0298739922139,49,2
34.9965523005994,50,1
64.2762387119593,51,2
31.916844434219,52,1
108.593524576826,53,3
34.6490356089954,54,1
30.0870208900319,55,1
39.1450250326838,56,1
104.80575684008,57,3
64.3354848256033,58,2
69.4983108347543,59,2
31.4771083234816,60,1
31.7887302807698,61,1
67.9523138236762,62,2
32.9903999696621,63,1
109.449805735329,64,3
71.4604473667785,65,2
36.2646101104994,66,1
34.673151442404,67,1
33.9796763868102,68,1
67.9899869655374,69,2
32.1853835636465,70,1
33.0270369184145,71,1
105.59196837123,72,3
32.2274596313037,73,1
107.173888847839,74,3
63.0200218415371,75,2
30.5250244188258,76,1
105.65159172815,77,3
36.1576317402693,78,1
33.6274481605127,79,1
108.860524192669,80,3
35.3080317357606,81,1
36.7282850580921,82,1
32.5571189088416,83,1
31.3291172607032,84,1
33.7994955184389,85,1
36.8877596151637,86,1
109.538529125318,87,3
32.7132964909415,88,1
108.090013261329,89,3
61.6054611159297,90,2
35.9948690912907,91,1
